중분류,소분류,상품명,제조업체,지역,업태,업체종류,판매업체,총중량,단위중량,단위가격,판매가격,날짜
곡물가공품,견과류,머거본 꿀땅콩(135g),머거본,제주도/서귀포시,전통시장,전통시장,매일올레시장,135g,100g,2519,3400,202004
곡물가공품,국수,옛날국수소면,오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,900g,100g,220,1980,202004
곡물가공품,국수,옛날국수소면,오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,900g,100g,220,1980,202004
곡물가공품,국수,옛날국수소면,오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,900g,100g,220,1980,202004
곡물가공품,국수,옛날국수소면,오뚜기,제주도/제주시,전통시장,전통시장,동문시장,900g,100g,300,2700,202004
곡물가공품,국수,옛날국수소면,오뚜기,제주도/서귀포시,전통시장,전통시장,매일올레시장,900g,100g,300,2700,202004
곡물가공품,국수,제일제면소 소면(900g),CJ제일제당,제주도/서귀포시,대형마트,이마트,이마트서귀포점,900g,100g,220,1980,202004
곡물가공품,국수,제일제면소 소면(900g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트제주점,900g,100g,220,1980,202004
곡물가공품,국수,제일제면소 소면(900g),CJ제일제당,제주도/서귀포시,전통시장,전통시장,매일올레시장,900g,100g,372,3350,202004
곡물가공품,국수,제일제면소 소면(900g),CJ제일제당,제주도/제주시,전통시장,전통시장,동문시장,900g,100g,289,2600,202004
곡물가공품,국수,제일제면소 소면(900g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트신제주점,900g,100g,220,1980,202004
곡물가공품,냉동만두,고향만두,해태제과,제주도/서귀포시,전통시장,전통시장,매일올레시장,1140g,100g,658,7500,202004
곡물가공품,냉동만두,동원 개성 왕만두,동원,제주도/서귀포시,전통시장,전통시장,매일올레시장,980g,100g,939,9200,202004
곡물가공품,냉동만두,생야채돼지고기물만두(400g*2봉),CJ제일제당,제주도/서귀포시,대형마트,이마트,이마트서귀포점,800g,100g,998,7980,202004
곡물가공품,냉동만두,생야채돼지고기물만두(400g*2봉),CJ제일제당,제주도/제주시,대형마트,이마트,이마트신제주점,800g,100g,998,7980,202004
곡물가공품,당면,CJ 100% 국산 햇당면(400g),CJ제일제당,제주도/서귀포시,전통시장,전통시장,매일올레시장,400g,100g,1738,6950,202004
곡물가공품,당면,CJ 100% 국산 햇당면(400g),CJ제일제당,제주도/제주시,전통시장,전통시장,동문시장,400g,100g,1575,6300,202004
곡물가공품,당면,옛날당면,오뚜기,제주도/제주시,전통시장,전통시장,동문시장,500g,100g,1140,5700,202004
곡물가공품,당면,옛날당면,오뚜기,제주도/서귀포시,전통시장,전통시장,매일올레시장,500g,100g,1000,5000,202004
곡물가공품,두부,행복한콩 노릇하게잘구워지는 부침두부,CJ제일제당,제주도/제주시,전통시장,전통시장,동문시장,300g,100g,483,1450,202004
곡물가공품,두부,행복한콩 양념이잘배는 찌개두부,CJ제일제당,제주도/서귀포시,대형마트,이마트,이마트서귀포점,300g,100g,330,990,202004
곡물가공품,두부,행복한콩 양념이잘배는 찌개두부,CJ제일제당,제주도/제주시,전통시장,전통시장,동문시장,300g,100g,450,1350,202004
곡물가공품,떡국떡,CJ 참쌀떡국떡(1kg),CJ제일제당,제주도/제주시,대형마트,이마트,이마트신제주점,1000g,100g,338,3380,202004
곡물가공품,떡국떡,CJ 참쌀떡국떡(1kg),CJ제일제당,제주도/서귀포시,대형마트,이마트,이마트서귀포점,1000g,100g,338,3380,202004
곡물가공품,떡국떡,CJ 참쌀떡국떡(1kg),CJ제일제당,제주도/제주시,대형마트,이마트,이마트제주점,1000g,100g,338,3380,202004
곡물가공품,떡국떡,생가득 우리쌀 떡국떡(700g),풀무원,제주도/제주시,대형마트,이마트,이마트제주점,700g,100g,914,6400,202004
곡물가공품,떡국떡,생가득 우리쌀 떡국떡(700g),풀무원,제주도/제주시,대형마트,이마트,이마트신제주점,700g,100g,914,6400,202004
곡물가공품,라면,삼양라면 5개입,삼양식품,제주도/제주시,대형마트,이마트,이마트신제주점,5개,1개,596,2980,202004
곡물가공품,라면,삼양라면 5개입,삼양식품,제주도/서귀포시,전통시장,전통시장,매일올레시장,5개,1개,700,3500,202004
곡물가공품,라면,삼양라면 5개입,삼양식품,제주도/제주시,전통시장,전통시장,동문시장,5개,1개,700,3500,202004
곡물가공품,라면,삼양라면 5개입,삼양식품,제주도/제주시,대형마트,이마트,이마트제주점,5개,1개,596,2980,202004
곡물가공품,라면,삼양라면 5개입,삼양식품,제주도/서귀포시,대형마트,이마트,이마트서귀포점,5개,1개,596,2980,202004
곡물가공품,라면,신라면 5개입,농심,제주도/제주시,전통시장,전통시장,동문시장,5개,1개,748,3740,202004
곡물가공품,라면,신라면 5개입,농심,제주도/서귀포시,대형마트,이마트,이마트서귀포점,5개,1개,676,3380,202004
곡물가공품,라면,신라면 5개입,농심,제주도/제주시,대형마트,이마트,이마트제주점,5개,1개,676,3380,202004
곡물가공품,라면,신라면 5개입,농심,제주도/제주시,대형마트,이마트,이마트신제주점,5개,1개,676,3380,202004
곡물가공품,라면,신라면 5개입,농심,제주도/서귀포시,전통시장,전통시장,매일올레시장,5개,1개,730,3650,202004
곡물가공품,라면,진라면(순한맛) 5개입,오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,5개,1개,466,2330,202004
곡물가공품,라면,진라면(순한맛) 5개입,오뚜기,제주도/제주시,전통시장,전통시장,동문시장,5개,1개,600,3000,202004
곡물가공품,라면,진라면(순한맛) 5개입,오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,5개,1개,466,2330,202004
곡물가공품,라면,진라면(순한맛) 5개입,오뚜기,제주도/서귀포시,전통시장,전통시장,매일올레시장,5개,1개,640,3200,202004
곡물가공품,라면,진라면(순한맛) 5개입,오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,5개,1개,466,2330,202004
곡물가공품,만두피,오뚜기 찹쌀 왕만두피(300g),오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,300g,100g,493,1480,202004
곡물가공품,만두피,오뚜기 찹쌀 왕만두피(300g),오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,300g,100g,493,1480,202004
곡물가공품,만두피,오뚜기 찹쌀 왕만두피(300g),오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,300g,100g,493,1480,202004
곡물가공품,만두피,해태 찹쌀 왕만두피(360g),해태제과,제주도/제주시,대형마트,이마트,이마트제주점,360g,100g,606,2180,202004
곡물가공품,만두피,해태 찹쌀 왕만두피(360g),해태제과,제주도/제주시,대형마트,이마트,이마트신제주점,360g,100g,606,2180,202004
곡물가공품,만두피,해태 찹쌀 왕만두피(360g),해태제과,제주도/서귀포시,대형마트,이마트,이마트서귀포점,360g,100g,606,2180,202004
곡물가공품,밀가루,곰표 다목적밀가루(1kg),대한제분,제주도/제주시,대형마트,이마트,이마트신제주점,1000g,100g,128,1280,202004
곡물가공품,밀가루,곰표 다목적밀가루(1kg),대한제분,제주도/서귀포시,대형마트,이마트,이마트서귀포점,1000g,100g,85,850,202004
곡물가공품,밀가루,곰표 다목적밀가루(1kg),대한제분,제주도/제주시,대형마트,이마트,이마트제주점,1000g,100g,128,1280,202004
곡물가공품,밀가루,백설 중력밀가루(1kg),CJ제일제당,제주도/제주시,전통시장,전통시장,동문시장,1000g,100g,150,1500,202004
곡물가공품,밀가루,백설 중력밀가루(1kg),CJ제일제당,제주도/서귀포시,전통시장,전통시장,매일올레시장,1000g,100g,145,1450,202004
곡물가공품,부침가루,백설부침가루(1kg),CJ제일제당,제주도/제주시,전통시장,전통시장,동문시장,1000g,100g,200,2000,202004
곡물가공품,부침가루,백설부침가루(1kg),CJ제일제당,제주도/서귀포시,전통시장,전통시장,매일올레시장,1000g,100g,200,2000,202004
곡물가공품,부침가루,오뚜기부침가루(1kg),오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,1000g,100g,245,2450,202004
곡물가공품,부침가루,오뚜기부침가루(1kg),오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,1000g,100g,245,2450,202004
곡물가공품,부침가루,오뚜기부침가루(1kg),오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,1000g,100g,245,2450,202004
곡물가공품,빵,1964 정통 크림빵,삼립식품,제주도/제주시,전통시장,전통시장,동문시장,225g,10g,156,3500,202004
곡물가공품,빵,샤니 요요꿀호떡(400g),샤니,제주도/제주시,전통시장,전통시장,동문시장,400g,10g,100,4000,202004
곡물가공품,스프,보노 포르치니버섯스프(51.6g),농심,제주도/제주시,대형마트,이마트,이마트신제주점,52g,10g,438,2280,202004
곡물가공품,스프,보노 포르치니버섯스프(51.6g),농심,제주도/서귀포시,대형마트,이마트,이마트서귀포점,52g,10g,438,2280,202004
곡물가공품,스프,오뚜기 크림스프,오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,80g,10g,185,1480,202004
곡물가공품,스프,오뚜기 크림스프,오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,80g,10g,185,1480,202004
곡물가공품,스프,오뚜기 크림스프,오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,80g,10g,185,1480,202004
곡물가공품,스프,옥수수 보노콘스프,농심,제주도/서귀포시,대형마트,이마트,이마트서귀포점,56g,10g,407,2280,202004
곡물가공품,스프,옥수수 보노콘스프,농심,제주도/제주시,대형마트,이마트,이마트신제주점,56g,10g,407,2280,202004
곡물가공품,스프,옥수수 보노콘스프,농심,제주도/제주시,대형마트,이마트,이마트제주점,56g,10g,407,2280,202004
곡물가공품,스프,청정원 우리쌀 크림스프,대상,제주도/서귀포시,전통시장,전통시장,매일올레시장,60g,10g,200,1200,202004
곡물가공품,씨리얼,켈로그 콘푸로스트(600g),농심,제주도/제주시,대형마트,이마트,이마트신제주점,600g,100g,697,4180,202004
곡물가공품,씨리얼,켈로그 콘푸로스트(600g),농심,제주도/서귀포시,전통시장,전통시장,매일올레시장,600g,100g,1300,7800,202004
곡물가공품,씨리얼,켈로그 콘푸로스트(600g),농심,제주도/제주시,대형마트,이마트,이마트제주점,600g,100g,697,4180,202004
곡물가공품,씨리얼,켈로그 콘푸로스트(600g),농심,제주도/서귀포시,대형마트,이마트,이마트서귀포점,600g,100g,697,4180,202004
곡물가공품,씨리얼,포스트 콘푸라이트(600g),동서식품,제주도/서귀포시,전통시장,전통시장,매일올레시장,600g,100g,1158,6950,202004
곡물가공품,즉석국,맛있는 미역국,오뚜기,제주도/서귀포시,전통시장,전통시장,매일올레시장,18g,10g,944,1700,202004
곡물가공품,즉석국,맛있는 미역국,오뚜기,제주도/제주시,전통시장,전통시장,동문시장,18g,10g,944,1700,202004
곡물가공품,즉석국,오뚜기 맛있는 북어국(34g),오뚜기,제주도/제주시,전통시장,전통시장,동문시장,34g,10g,676,2300,202004
곡물가공품,즉석국,오뚜기 맛있는 북어국(34g),오뚜기,제주도/서귀포시,전통시장,전통시장,매일올레시장,34g,10g,765,2600,202004
곡물가공품,즉석덮밥,3분 쇠고기 짜장,오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,200g,10g,48,950,202004
곡물가공품,즉석덮밥,3분 쇠고기 짜장,오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,200g,10g,48,950,202004
곡물가공품,즉석덮밥,3분 쇠고기 짜장,오뚜기,제주도/제주시,전통시장,전통시장,동문시장,200g,10g,65,1300,202004
곡물가공품,즉석덮밥,3분 쇠고기 짜장,오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,200g,10g,48,950,202004
곡물가공품,즉석덮밥,3분 쇠고기 카레,오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,200g,10g,48,950,202004
곡물가공품,즉석덮밥,3분 쇠고기 카레,오뚜기,제주도/제주시,전통시장,전통시장,동문시장,200g,10g,60,1200,202004
곡물가공품,즉석덮밥,3분 쇠고기 카레,오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,200g,10g,48,950,202004
곡물가공품,즉석덮밥,3분 쇠고기 카레,오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,200g,10g,48,950,202004
곡물가공품,즉석덮밥,오뚜기 3분 백세카레 약간 매운맛,오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,200g,10g,99,1980,202004
곡물가공품,즉석덮밥,오뚜기 3분 백세카레 약간 매운맛,오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,200g,10g,99,1980,202004
곡물가공품,즉석덮밥,오뚜기 3분 백세카레 약간 매운맛,오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,200g,10g,99,1980,202004
곡물가공품,즉석덮밥,청정원 옛날식 짜장(180g),대상,제주도/제주시,대형마트,이마트,이마트신제주점,180g,10g,82,1480,202004
곡물가공품,즉석덮밥,청정원 옛날식 짜장(180g),대상,제주도/서귀포시,대형마트,이마트,이마트서귀포점,180g,10g,82,1480,202004
곡물가공품,즉석덮밥,청정원 옛날식 짜장(180g),대상,제주도/제주시,대형마트,이마트,이마트제주점,180g,10g,82,1480,202004
곡물가공품,즉석덮밥,청정원 옛날식 짜장(180g),대상,제주도/서귀포시,전통시장,전통시장,매일올레시장,180g,10g,83,1500,202004
곡물가공품,즉석덮밥,청정원 옛날식 짜장(180g),대상,제주도/제주시,전통시장,전통시장,동문시장,180g,10g,83,1500,202004
곡물가공품,즉석덮밥,청정원 카레여왕 비프카레(160g),대상,제주도/제주시,전통시장,전통시장,동문시장,160g,10g,128,2050,202004
곡물가공품,즉석덮밥,청정원 카레여왕 비프카레(160g),대상,제주도/서귀포시,전통시장,전통시장,매일올레시장,160g,10g,131,2100,202004
곡물가공품,즉석밥,CJ 햇반(210g*3개입),CJ제일제당,제주도/제주시,대형마트,이마트,이마트제주점,630g,100g,743,4680,202004
곡물가공품,즉석밥,CJ 햇반(210g*3개입),CJ제일제당,제주도/제주시,대형마트,이마트,이마트신제주점,630g,100g,743,4680,202004
곡물가공품,즉석밥,맛있는오뚜기밥(6개입) ,오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,1260g,100g,433,5450,202004
곡물가공품,즉석밥,맛있는오뚜기밥(6개입) ,오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,1260g,100g,433,5450,202004
곡물가공품,즉석밥,맛있는오뚜기밥(6개입) ,오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,1260g,100g,433,5450,202004
곡물가공품,즉석밥,햇반(엄마가해주신밥 단품),CJ제일제당,제주도/서귀포시,대형마트,이마트,이마트서귀포점,210g,100g,752,1580,202004
곡물가공품,즉석밥,햇반(엄마가해주신밥 단품),CJ제일제당,제주도/제주시,대형마트,이마트,이마트신제주점,210g,100g,752,1580,202004
곡물가공품,즉석밥,햇반(엄마가해주신밥 단품),CJ제일제당,제주도/서귀포시,전통시장,전통시장,매일올레시장,210g,100g,476,1000,202004
곡물가공품,즉석밥,햇반(엄마가해주신밥 단품),CJ제일제당,제주도/제주시,대형마트,이마트,이마트제주점,210g,100g,752,1580,202004
곡물가공품,즉석우동,CJ 가쓰오 우동(4인분)(933.2g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트제주점,933g,100g,802,7480,202004
곡물가공품,즉석우동,CJ 가쓰오 우동(4인분)(933.2g),CJ제일제당,제주도/서귀포시,대형마트,이마트,이마트서귀포점,933g,100g,802,7480,202004
곡물가공품,즉석우동,CJ 가쓰오 우동(4인분)(933.2g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트신제주점,933g,100g,802,7480,202004
곡물가공품,즉석우동,풀무원 생가득 가쓰오 우동(4인분),풀무원,제주도/제주시,대형마트,이마트,이마트신제주점,920g,100g,867,7980,202004
곡물가공품,즉석우동,풀무원 생가득 가쓰오 우동(4인분),풀무원,제주도/제주시,대형마트,이마트,이마트제주점,920g,100g,867,7980,202004
곡물가공품,즉석우동,풀무원 생가득 가쓰오 우동(4인분),풀무원,제주도/서귀포시,대형마트,이마트,이마트서귀포점,920g,100g,867,7980,202004
곡물가공품,즉석죽,동원 양반 쇠고기죽(288g),동원F&B,제주도/제주시,대형마트,이마트,이마트신제주점,288g,100g,965,2780,202004
곡물가공품,즉석죽,동원 양반 쇠고기죽(288g),동원F&B,제주도/서귀포시,전통시장,전통시장,매일올레시장,288g,100g,920,2650,202004
곡물가공품,즉석죽,동원 양반 쇠고기죽(288g),동원F&B,제주도/제주시,대형마트,이마트,이마트제주점,288g,100g,965,2780,202004
곡물가공품,즉석죽,동원 양반 쇠고기죽(288g),동원F&B,제주도/제주시,전통시장,전통시장,동문시장,288g,100g,1042,3000,202004
곡물가공품,즉석죽,동원 양반 쇠고기죽(288g),동원F&B,제주도/서귀포시,대형마트,이마트,이마트서귀포점,288g,100g,965,2780,202004
곡물가공품,즉석죽,동원 양반 전복죽(288g),동원F&B,제주도/제주시,대형마트,이마트,이마트신제주점,288g,100g,965,2780,202004
곡물가공품,즉석죽,동원 양반 전복죽(288g),동원F&B,제주도/서귀포시,전통시장,전통시장,매일올레시장,288g,100g,1111,3200,202004
곡물가공품,즉석죽,동원 양반 전복죽(288g),동원F&B,제주도/제주시,대형마트,이마트,이마트제주점,288g,100g,965,2780,202004
곡물가공품,즉석죽,동원 양반 전복죽(288g),동원F&B,제주도/서귀포시,대형마트,이마트,이마트서귀포점,288g,100g,965,2780,202004
곡물가공품,즉석죽,동원 양반 전복죽(288g),동원F&B,제주도/제주시,전통시장,전통시장,동문시장,288g,100g,1111,3200,202004
곡물가공품,즉석죽,오뚜기 새송이 쇠고기죽(285g),오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,285g,100g,975,2780,202004
곡물가공품,즉석죽,오뚜기 새송이 쇠고기죽(285g),오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,285g,100g,975,2780,202004
곡물가공품,즉석죽,오뚜기 새송이 쇠고기죽(285g),오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,285g,100g,975,2780,202004
곡물가공품,즉석죽,오뚜기 전복죽(285g),오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,285g,100g,975,2780,202004
곡물가공품,즉석죽,오뚜기 전복죽(285g),오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,285g,100g,975,2780,202004
곡물가공품,즉석죽,오뚜기 전복죽(285g),오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,285g,100g,975,2780,202004
곡물가공품,초밥류,대림 주부초밥짱(320g),사조대림,제주도/제주시,대형마트,이마트,이마트제주점,320g,100g,931,2980,202004
곡물가공품,초밥류,대림 주부초밥짱(320g),사조대림,제주도/제주시,전통시장,전통시장,동문시장,320g,100g,1438,4600,202004
곡물가공품,초밥류,대림 주부초밥짱(320g),사조대림,제주도/서귀포시,대형마트,이마트,이마트서귀포점,320g,100g,931,2980,202004
곡물가공품,초밥류,대림 주부초밥짱(320g),사조대림,제주도/제주시,대형마트,이마트,이마트신제주점,320g,100g,931,2980,202004
곡물가공품,초밥류,풀무원 새콤달콤 유부(330g),풀무원,제주도/제주시,대형마트,이마트,이마트제주점,330g,100g,1055,3480,202004
곡물가공품,초밥류,풀무원 새콤달콤 유부(330g),풀무원,제주도/서귀포시,전통시장,전통시장,매일올레시장,330g,100g,1333,4400,202004
곡물가공품,초밥류,풀무원 새콤달콤 유부(330g),풀무원,제주도/서귀포시,대형마트,이마트,이마트서귀포점,330g,100g,1055,3480,202004
곡물가공품,초밥류,풀무원 새콤달콤 유부(330g),풀무원,제주도/제주시,대형마트,이마트,이마트신제주점,330g,100g,1055,3480,202004
곡물가공품,컵라면,농심 신라면 큰사발면(114g),농심,제주도/제주시,대형마트,이마트,이마트신제주점,114g,100g,833,950,202004
곡물가공품,컵라면,농심 신라면 큰사발면(114g),농심,제주도/서귀포시,대형마트,이마트,이마트서귀포점,114g,100g,833,950,202004
곡물가공품,컵라면,농심 신라면 큰사발면(114g),농심,제주도/서귀포시,전통시장,전통시장,매일올레시장,114g,100g,877,1000,202004
곡물가공품,컵라면,농심 신라면 큰사발면(114g),농심,제주도/제주시,대형마트,이마트,이마트제주점,114g,100g,833,950,202004
곡물가공품,컵라면,농심 신라면 큰사발면(114g),농심,제주도/제주시,전통시장,전통시장,동문시장,114g,100g,912,1040,202004
곡물가공품,컵라면,오뚜기 참깨라면(컵라면)(110g),오뚜기,제주도/서귀포시,전통시장,전통시장,매일올레시장,110g,100g,955,1050,202004
곡물가공품,컵라면,오뚜기 참깨라면(컵라면)(110g),오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,110g,100g,664,730,202004
곡물가공품,컵라면,오뚜기 참깨라면(컵라면)(110g),오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,110g,100g,664,730,202004
곡물가공품,컵라면,팔도 왕뚜껑(110g),팔도,제주도/제주시,대형마트,이마트,이마트신제주점,110g,100g,855,940,202004
곡물가공품,컵라면,팔도 왕뚜껑(110g),팔도,제주도/서귀포시,대형마트,이마트,이마트서귀포점,110g,100g,855,940,202004
곡물가공품,컵라면,팔도 왕뚜껑(110g),팔도,제주도/서귀포시,전통시장,전통시장,매일올레시장,110g,100g,909,1000,202004
곡물가공품,컵라면,팔도 왕뚜껑(110g),팔도,제주도/제주시,대형마트,이마트,이마트제주점,110g,100g,855,940,202004
곡물가공품,컵밥,CJ 햇반 컵반 고추장 제육덮밥(250g),CJ제일제당,제주도/제주시,전통시장,전통시장,동문시장,250g,100g,1040,2600,202004
곡물가공품,컵밥,CJ 햇반 컵반 고추장 제육덮밥(250g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트신제주점,250g,100g,1192,2980,202004
곡물가공품,컵밥,CJ 햇반 컵반 고추장 제육덮밥(250g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트제주점,250g,100g,1192,2980,202004
곡물가공품,컵밥,CJ 햇반 컵반 고추장 제육덮밥(250g),CJ제일제당,제주도/서귀포시,대형마트,이마트,이마트서귀포점,250g,100g,1192,2980,202004
곡물가공품,컵밥,CJ 햇반 컵반 미역국밥(167g),CJ제일제당,제주도/서귀포시,전통시장,전통시장,매일올레시장,167g,100g,1497,2500,202004
곡물가공품,컵밥,CJ 햇반 컵반 미역국밥(167g),CJ제일제당,제주도/서귀포시,대형마트,이마트,이마트서귀포점,167g,100g,1485,2480,202004
곡물가공품,컵밥,CJ 햇반 컵반 미역국밥(167g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트제주점,167g,100g,1485,2480,202004
곡물가공품,컵밥,CJ 햇반 컵반 미역국밥(167g),CJ제일제당,제주도/제주시,전통시장,전통시장,동문시장,167g,100g,1557,2600,202004
곡물가공품,컵밥,CJ 햇반 컵반 미역국밥(167g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트신제주점,167g,100g,1485,2480,202004
곡물가공품,탕,CJ 비비고 사골곰탕(500g),CJ제일제당,제주도/서귀포시,대형마트,이마트,이마트서귀포점,500g,100g,250,1250,202004
곡물가공품,탕,CJ 비비고 사골곰탕(500g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트신제주점,500g,100g,250,1250,202004
곡물가공품,탕,CJ 비비고 사골곰탕(500g),CJ제일제당,제주도/제주시,전통시장,전통시장,동문시장,500g,100g,330,1650,202004
곡물가공품,탕,CJ 비비고 사골곰탕(500g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트제주점,500g,100g,250,1250,202004
곡물가공품,탕,CJ 비비고 사골곰탕(500g),CJ제일제당,제주도/서귀포시,전통시장,전통시장,매일올레시장,500g,100g,370,1850,202004
곡물가공품,탕,CJ 비비고 육개장(500g),CJ제일제당,제주도/서귀포시,전통시장,전통시장,매일올레시장,500g,100g,740,3700,202004
곡물가공품,탕,CJ 비비고 육개장(500g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트제주점,500g,100g,636,3180,202004
곡물가공품,탕,CJ 비비고 육개장(500g),CJ제일제당,제주도/제주시,대형마트,이마트,이마트신제주점,500g,100g,636,3180,202004
곡물가공품,탕,CJ 비비고 육개장(500g),CJ제일제당,제주도/서귀포시,대형마트,이마트,이마트서귀포점,500g,100g,636,3180,202004
곡물가공품,탕,CJ 비비고 육개장(500g),CJ제일제당,제주도/제주시,전통시장,전통시장,동문시장,500g,100g,720,3600,202004
곡물가공품,탕,오뚜기 옛날 사골곰탕 국물(350g),오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,350g,100g,280,980,202004
곡물가공품,탕,오뚜기 옛날 사골곰탕 국물(350g),오뚜기,제주도/서귀포시,전통시장,전통시장,매일올레시장,350g,100g,314,1100,202004
곡물가공품,탕,오뚜기 옛날 사골곰탕 국물(350g),오뚜기,제주도/제주시,대형마트,이마트,이마트신제주점,350g,100g,280,980,202004
곡물가공품,탕,오뚜기 옛날 사골곰탕 국물(350g),오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,350g,100g,280,980,202004
곡물가공품,탕,오뚜기 옛날 육개장(300g),오뚜기,제주도/서귀포시,전통시장,전통시장,매일올레시장,300g,100g,383,1150,202004
곡물가공품,탕,오뚜기 옛날 육개장(300g),오뚜기,제주도/제주시,대형마트,이마트,이마트제주점,300g,100g,327,980,202004
곡물가공품,탕,오뚜기 옛날 육개장(300g),오뚜기,제주도/서귀포시,대형마트,이마트,이마트서귀포점,300g,100g,327,980,202004
과자·빙과류,감자칩,오리온 포카칩 오리지날(66g),오리온,제주도/서귀포시,전통시장,전통시장,매일올레시장,66g,10g,189,1250,202004
과자·빙과류,감자칩,오리온 포카칩 오리지날(66g),오리온,제주도/서귀포시,대형마트,이마트,이마트서귀포점,66g,10g,179,1180,202004
