,OBJECTID,Field1,YM,SIDO,SIGUNGU,FranClass,Type,Time,TotalSpent,DisSpent,NumofSpent,NumofDisSpent,POINT_X,POINT_Y,DONG
281759,281760,281760,202006,제주특별자치도,서귀포시,중소2,일반한식,x시,180000,0,2,0,126.92007632160933,33.44936161904359,성산읍
281760,281761,281761,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,52000,0,1,0,126.92077012674018,33.43674474735624,성산읍
281761,281762,281762,202006,제주특별자치도,서귀포시,영세,스넥,x시,55500,0,3,0,126.92075898124037,33.43764628701123,성산읍
281762,281763,281763,202006,제주특별자치도,서귀포시,영세,제과점,x시,54500,0,3,0,126.92075898124037,33.43764628701123,성산읍
281763,281764,281764,202006,제주특별자치도,서귀포시,영세,서양음식,x시,39500,0,2,0,126.92037416277462,33.46874933258404,성산읍
281764,281765,281765,202006,제주특별자치도,서귀포시,영세,중국음식,x시,316000,0,8,0,126.92131334435295,33.436298648437074,성산읍
281765,281766,281766,202006,제주특별자치도,서귀포시,중소,편의점,x시,42250,0,6,0,126.92131334435295,33.436298648437074,성산읍
281766,281767,281767,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,67000,0,1,0,126.92129106554582,33.43810172796693,성산읍
281767,281768,281768,202006,제주특별자치도,서귀포시,영세,서양음식,x시,100000,0,7,0,126.92114619914078,33.449821736264774,성산읍
281768,281769,281769,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,161000,0,2,0,126.92114619914078,33.449821736264774,성산읍
281769,281770,281770,202006,제주특별자치도,서귀포시,영세,중국음식,x시,129000,0,6,0,126.9209175877039,33.46830324168041,성산읍
281770,281771,281771,202006,제주특별자치도,서귀포시,영세,농축수산품,x시,35000,0,1,0,126.92185098945502,33.4363033161635,성산읍
281771,281772,281772,202006,제주특별자치도,서귀포시,영세,일반한식,x시,58000,0,1,0,126.92185098945502,33.4363033161635,성산읍
281772,281773,281773,202006,제주특별자치도,서귀포시,중소1,편의점,x시,433830,0,48,0,126.92144985443042,33.46875868352078,성산읍
281773,281774,281774,202006,제주특별자치도,서귀포시,영세,서양음식,x시,10000,0,1,0,126.92238307144139,33.43675875340734,성산읍
281774,281775,281775,202006,제주특별자치도,서귀포시,영세,일반한식,x시,14000,0,1,0,126.92238307144139,33.43675875340734,성산읍
281775,281776,281776,202006,제주특별자치도,서귀포시,영세,서양음식,x시,71000,0,2,0,126.92252554538354,33.468768025120035,성산읍
281776,281777,281777,202006,제주특별자치도,서귀포시,영세,스포츠레져용품,x시,6000,0,2,0,126.92250883404532,33.47012032802539,성산읍
281777,281778,281778,202006,제주특별자치도,서귀포시,중소2,일반한식,x시,50000,0,1,0,126.9243725736341,33.449849727246935,성산읍
281778,281779,281779,202006,제주특별자치도,서귀포시,일반,일반한식,x시,54500,0,3,0,126.92673413467138,33.43273905951912,성산읍
281779,281780,281780,202006,제주특별자치도,서귀포시,중소1,편의점,x시,61660,0,10,0,126.92673413467138,33.43273905951912,성산읍
281780,281781,281781,202006,제주특별자치도,서귀포시,일반,기념품점,x시,362000,0,13,0,126.9267230530508,33.433640601861605,성산읍
281781,281782,281782,202006,제주특별자치도,서귀포시,일반,일반한식,x시,101600,0,13,0,126.9267230530508,33.433640601861605,성산읍
281782,281783,281783,202006,제주특별자치도,서귀포시,일반,티켓,x시,1051900,0,21,0,126.9267230530508,33.433640601861605,성산읍
281783,281784,281784,202006,제주특별자치도,서귀포시,중소1,제과점,x시,46300,0,4,0,126.9267230530508,33.433640601861605,성산읍
281784,281785,281785,202006,제주특별자치도,서귀포시,중소2,일반한식,x시,42000,0,1,0,126.9267230530508,33.433640601861605,성산읍
281785,281786,281786,202006,제주특별자치도,서귀포시,일반,콘도,x시,553500,0,12,0,126.9273105223073,33.42958830524506,성산읍
281786,281787,281787,202006,제주특별자치도,서귀포시,일반,티켓,x시,36000,0,1,0,126.9273105223073,33.42958830524506,성산읍
281787,281788,281788,202006,제주특별자치도,서귀포시,일반,편의점,x시,54440,0,3,0,126.9273105223073,33.42958830524506,성산읍
281788,281789,281789,202006,제주특별자치도,서귀포시,영세,서양음식,x시,18500,0,1,0,126.92899077901517,33.46792233933774,성산읍
281789,281790,281790,202006,제주특별자치도,서귀포시,영세,서양음식,x시,175000,0,12,0,126.9289852422442,33.468373108616255,성산읍
281790,281791,281791,202006,제주특별자치도,서귀포시,영세,일반한식,x시,15000,0,1,0,126.9289852422442,33.468373108616255,성산읍
281791,281792,281792,202006,제주특별자치도,서귀포시,중소,스넥,x시,694000,0,21,0,126.9289852422442,33.468373108616255,성산읍
281792,281793,281793,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,49000,0,1,0,126.92963927186378,33.458911592037346,성산읍
281793,281794,281794,202006,제주특별자치도,서귀포시,영세,서양음식,x시,106000,0,5,0,126.9296226773271,33.460263901050894,성산읍
281794,281795,281795,202006,제주특별자치도,서귀포시,일반,서양음식,x시,232270,0,13,0,126.9296226773271,33.460263901050894,성산읍
281795,281796,281796,202006,제주특별자치도,서귀포시,영세,슈퍼마켓,x시,112000,0,6,0,126.92951201902103,33.46927928553131,성산읍
281796,281797,281797,202006,제주특별자치도,서귀포시,영세,일반한식,x시,24000,0,1,0,126.92951201902103,33.46927928553131,성산읍
281797,281798,281798,202006,제주특별자치도,서귀포시,중소1,편의점,x시,107170,0,17,0,126.92951201902103,33.46927928553131,성산읍
281798,281799,281799,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,120000,0,2,0,126.92950648475623,33.46973005476239,성산읍
281799,281800,281800,202006,제주특별자치도,서귀포시,영세,일반한식,x시,32000,0,1,0,126.93008305448686,33.466579307943455,성산읍
281800,281801,281801,202006,제주특별자치도,서귀포시,영세,일반한식,x시,77000,0,3,0,126.93004433714653,33.46973469183789,성산읍
281801,281802,281802,202006,제주특별자치도,서귀포시,영세,편의점,x시,146000,0,11,0,126.93070379315421,33.45982239970114,성산읍
281802,281803,281803,202006,제주특별자치도,서귀포시,영세,편의점,x시,42920,0,5,0,126.93062641661277,33.466133172747305,성산읍
281803,281804,281804,202006,제주특별자치도,서귀포시,영세,일반한식,x시,28500,0,1,0,126.93058219070535,33.46973932658513,성산읍
281804,281805,281805,202006,제주특별자치도,서귀포시,영세,일반한식,x시,16000,0,1,0,126.9305766619155,33.47019009588886,성산읍
281805,281806,281806,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,63000,0,3,0,126.9312360616083,33.460277800140915,성산읍
281806,281807,281807,202006,제주특별자치도,서귀포시,영세,중국음식,x시,300000,0,10,0,126.93120844358054,33.46253164831999,성산읍
281807,281808,281808,202006,제주특별자치도,서귀포시,영세,일반한식,x시,43000,0,1,0,126.93176281532436,33.46118396840581,성산읍
281808,281809,281809,202006,제주특별자치도,서귀포시,중소1,슈퍼마켓,x시,432500,0,30,0,126.93175177337217,33.4620855075685,성산읍
281809,281810,281810,202006,제주특별자치도,서귀포시,중소2,편의점,x시,21500,0,2,0,126.93170760078894,33.465691664677564,성산읍
281810,281811,281811,202006,제주특별자치도,서귀포시,중소1,제과점,x시,12000,0,2,0,126.9316302799955,33.47200243488671,성산읍
281811,281812,281812,202006,제주특별자치도,서귀포시,중소2,편의점,x시,18300,0,5,0,126.9316302799955,33.47200243488671,성산읍
281812,281813,281813,202006,제주특별자치도,서귀포시,중소1,일반한식,x시,254000,0,2,0,126.93227302408174,33.463442443515994,성산읍
281813,281814,281814,202006,제주특별자치도,서귀포시,영세,일식회집,x시,326000,0,4,0,126.93283841733579,33.46119321865466,성산읍
281814,281815,281815,202006,제주특별자치도,서귀포시,영세,서양음식,x시,18600,0,1,0,126.93282738651388,33.462094758029004,성산읍
281815,281816,281816,202006,제주특별자치도,서귀포시,일반,일반한식,x시,18000,0,1,0,126.93282738651388,33.462094758029004,성산읍
281816,281817,281817,202006,제주특별자치도,서귀포시,영세,일반한식,x시,117000,0,1,0,126.93282187042391,33.462545528114426,성산읍
281817,281818,281818,202006,제주특별자치도,서귀포시,영세,스넥,x시,385000,0,13,0,126.93281635531797,33.46299629817124,성산읍
281818,281819,281819,202006,제주특별자치도,서귀포시,영세,일반한식,x시,80000,0,1,0,126.9333762184825,33.4611978398294,성산읍
281819,281820,281820,202006,제주특별자치도,서귀포시,영세,일반한식,x시,59000,0,4,0,126.93335416759523,33.4630009195574,성산읍
281820,281821,281821,202006,제주특별자치도,서귀포시,영세,서양음식,x시,80000,0,4,0,126.93334865410397,33.46345168962865,성산읍
281821,281822,281822,202006,제주특별자치도,서귀포시,영세,편의점,x시,147920,0,27,0,126.93334865410397,33.46345168962865,성산읍
281822,281823,281823,202006,제주특별자치도,서귀포시,중소1,편의점,x시,61010,0,8,0,126.93334865410397,33.46345168962865,성산읍
281823,281824,281824,202006,제주특별자치도,서귀포시,일반,농축협직영매장,x시,878540,0,48,0,126.93334314052073,33.463902459666386,성산읍
281824,281825,281825,202006,제주특별자치도,서귀포시,영세,슈퍼마켓,x시,29000,0,1,0,126.93333211415437,33.46480399964621,성산읍
281825,281826,281826,202006,제주특별자치도,서귀포시,영세,일반한식,x시,214000,0,2,0,126.93391952888814,33.46075168927705,성산읍
281826,281827,281827,202006,제주특별자치도,서귀포시,중소1,서양음식,x시,150000,0,4,0,126.93391952888814,33.46075168927705,성산읍
281827,281828,281828,202006,제주특별자치도,서귀포시,중소1,제과점,x시,377750,0,22,0,126.93390850938036,33.46165322892977,성산읍
281828,281829,281829,202006,제주특별자치도,서귀포시,중소2,주차장,x시,45000,0,5,0,126.93388646925017,33.463456309636925,성산읍
281829,281830,281830,202006,제주특별자치도,서귀포시,영세,슈퍼마켓,x시,19400,0,3,0,126.93388095844979,33.46390707972747,성산읍
281830,281831,281831,202006,제주특별자치도,서귀포시,영세,스넥,x시,442500,0,16,0,126.93388095844979,33.46390707972747,성산읍
281831,281832,281832,202006,제주특별자치도,서귀포시,일반,슈퍼마켓,x시,600,0,1,0,126.93387544863943,33.464357848887516,성산읍
281832,281833,281833,202006,제주특별자치도,서귀포시,중소1,편의점,x시,37100,0,6,0,126.93445181996984,33.46120707607845,성산읍
281833,281834,281834,202006,제주특별자치도,서귀포시,일반,서양음식,x시,60000,0,8,0,126.93444080583754,33.46210861667163,성산읍
281834,281835,281835,202006,제주특별자치도,서귀포시,중소1,화장품,x시,73500,0,3,0,126.93444080583754,33.46210861667163,성산읍
281835,281836,281836,202006,제주특별자치도,서귀포시,영세,일반한식,x시,123000,0,1,0,126.93441326944333,33.46436246666867,성산읍
281836,281837,281837,202006,제주특별자치도,서귀포시,영세,서양음식,x시,36700,0,9,0,126.93497310894192,33.46256400125591,성산읍
281837,281838,281838,202006,제주특별자치도,서귀포시,영세,약국,x시,215000,0,9,0,126.93497310894192,33.46256400125591,성산읍
281838,281839,281839,202006,제주특별자치도,서귀포시,영세,편의점,x시,20750,0,5,0,126.93497310894192,33.46256400125591,성산읍
281839,281840,281840,202006,제주특별자치도,서귀포시,영세,일반한식,x시,135000,0,2,0,126.93495108926298,33.46436708211214,성산읍
281840,281841,281841,202006,제주특별자치도,서귀포시,일반,일반한식,x시,283000,0,3,0,126.93494558492083,33.46481785224611,성산읍
281841,281842,281842,202006,제주특별자치도,서귀포시,영세,일반한식,x시,49000,0,1,0,126.93494007941078,33.46526862234166,성산읍
281842,281843,281843,202006,제주특별자치도,서귀포시,영세,농축수산품,x시,30000,0,1,0,126.93551091879816,33.46256861416073,성산읍
281843,281844,281844,202006,제주특별자치도,서귀포시,중소,기타유통업,x시,47000,0,3,0,126.93551091879816,33.46256861416073,성산읍
281844,281845,281845,202006,제주특별자치도,서귀포시,중소,기념품점,x시,12000,0,2,0,126.93549991525171,33.46347015386182,성산읍
281845,281846,281846,202006,제주특별자치도,서귀포시,영세,중국음식,x시,168000,0,6,0,126.93549441279993,33.46392092411059,성산읍
281846,281847,281847,202006,제주특별자치도,서귀포시,영세,일반한식,x시,96000,0,1,0,126.9354889102564,33.46437169432586,성산읍
281847,281848,281848,202006,제주특별자치도,서귀포시,일반,일반한식,x시,36000,0,2,0,126.9354889102564,33.46437169432586,성산읍
281848,281849,281849,202006,제주특별자치도,서귀포시,일반,서양음식,x시,20000,0,1,0,126.9354724031515,33.46572400477551,성산읍
281849,281850,281850,202006,제주특별자치도,서귀포시,중소1,기타잡화,x시,19000,0,2,0,126.93604872875193,33.46257322383104,성산읍
281850,281851,281851,202006,제주특별자치도,서귀포시,중소1,편의점,x시,16000,0,2,0,126.93604872875193,33.46257322383104,성산읍
281851,281852,281852,202006,제주특별자치도,제주시,영세,일반한식,x시,10000,0,1,0,126.94200458841783,33.50364841268553,우도면
281852,281853,281853,202006,제주특별자치도,제주시,영세,스포츠레져용품,x시,25000,0,1,0,126.94301505702491,33.50906680274529,우도면
281853,281854,281854,202006,제주특별자치도,제주시,영세,슈퍼마켓,x시,13000,0,2,0,126.9430041106894,33.509968337982784,우도면
281854,281855,281855,202006,제주특별자치도,제주시,영세,편의점,x시,13300,0,2,0,126.94363518755058,33.502309860697395,우도면
281855,281856,281856,202006,제주특별자치도,제주시,중소,중국음식,x시,45000,0,2,0,126.94363518755058,33.502309860697395,우도면
281856,281857,281857,202006,제주특별자치도,제주시,중소1,렌트카,x시,90000,0,2,0,126.94353674508064,33.51042368936889,우도면
281857,281858,281858,202006,제주특별자치도,제주시,영세,제과점,x시,29000,0,2,0,126.94480960363666,33.49420517528163,우도면
281858,281859,281859,202006,제주특별자치도,제주시,영세,일반한식,x시,159000,0,3,0,126.94534761123502,33.494209749313825,우도면
281859,281860,281860,202006,제주특별자치도,제주시,영세,서양음식,x시,319500,0,28,0,126.94751053254123,33.49332648094283,우도면
281860,281861,281861,202006,제주특별자치도,제주시,일반,정장,x시,104000,0,11,0,126.94804309124169,33.49378181247552,우도면
281861,281862,281862,202006,제주특별자치도,제주시,영세,일반한식,x시,38000,0,1,0,126.94825989535154,33.52038173794919,우도면
281862,281863,281863,202006,제주특별자치도,제주시,중소1,스넥,x시,14000,0,1,0,126.9482544467824,33.52083250526182,우도면
281863,281864,281864,202006,제주특별자치도,제주시,영세,편의점,x시,3100,0,2,0,126.94883617574277,33.51723092250482,우도면
281864,281865,281865,202006,제주특별자치도,제주시,중소,일반한식,x시,82000,0,1,0,126.94880895447282,33.51948476379652,우도면
281865,281866,281866,202006,제주특별자치도,제주시,영세,편의점,x시,12500,0,2,0,126.95073311785337,33.49380458715236,우도면
281866,281867,281867,202006,제주특별자치도,제주시,중소2,기타교통수단,x시,10000,0,1,0,126.95270627414776,33.508698173471124,우도면
281867,281868,281868,202006,제주특별자치도,제주시,영세,중국음식,x시,57000,0,2,0,126.95270085132086,33.50914894207299,우도면
281868,281869,281869,202006,제주특별자치도,제주시,영세,일반한식,x시,20000,0,2,0,126.95252184846915,33.524024313296195,우도면
281869,281870,281870,202006,제주특별자치도,제주시,중소2,관광여행,x시,24000,0,1,0,126.9533473188337,33.50013808792954,우도면
281870,281871,281871,202006,제주특별자치도,제주시,일반,주유소,x시,465000,0,11,0,126.95328772296709,33.50509655734276,우도면
281871,281872,281872,202006,제주특별자치도,제주시,영세,정육점,x시,35600,0,1,0,126.95328230471927,33.50554732717081,우도면
281872,281873,281873,202006,제주특별자치도,제주시,영세,일반한식,x시,262000,0,2,0,126.95324979119765,33.50825194452411,우도면
281873,281874,281874,202006,제주특별자치도,제주시,영세,중국음식,x시,170000,0,4,0,126.95379330266375,33.507805714006,우도면
281874,281875,281875,202006,제주특별자치도,제주시,영세,일반한식,x시,65000,0,2,0,126.9543422226636,33.50690871032099,우도면
281875,281876,281876,202006,제주특별자치도,제주시,영세,농축수산품,x시,12000,0,2,0,126.95468003684489,33.52359170566518,우도면
281876,281877,281877,202006,제주특별자치도,제주시,영세,일반한식,x시,26000,0,1,0,126.95468003684489,33.52359170566518,우도면
281877,281878,281878,202006,제주특별자치도,제주시,영세,서양음식,x시,37000,0,1,0,126.95641893041517,33.513237609675606,우도면
281878,281879,281879,202006,제주특별자치도,제주시,영세,서양음식,x시,15000,0,1,0,126.95695705711049,33.51324213447679,우도면
281879,281880,281880,202006,제주특별자치도,제주시,영세,편의점,x시,58750,0,3,0,126.95695705711049,33.51324213447679,우도면
281880,281881,281881,202006,제주특별자치도,제주시,중소,일반한식,x시,91000,0,1,0,126.95695705711049,33.51324213447679,우도면
281881,281882,281882,202006,제주특별자치도,제주시,중소,편의점,x시,171900,0,15,0,126.95694625418754,33.5141436745037,우도면
281882,281883,281883,202006,제주특별자치도,제주시,영세,일반한식,x시,55000,0,3,0,126.95693545091231,33.51504521349468,우도면
281883,281884,281884,202006,제주특별자치도,제주시,영세,서양음식,x시,70000,0,2,0,126.95750058134766,33.51279588817417,우도면
281884,281885,281885,202006,제주특별자치도,제주시,영세,스넥,x시,141200,0,5,0,126.95750058134766,33.51279588817417,우도면
281885,281886,281886,202006,제주특별자치도,제주시,일반,서양음식,x시,12500,0,1,0,126.95745739271412,33.51640204545855,우도면
281886,281887,281887,202006,제주특별자치도,제주시,중소1,서양음식,x시,52000,0,2,0,126.95800093548306,33.51595579736465,우도면
281887,281888,281888,202006,제주특별자치도,제주시,영세,일반한식,x시,36000,0,1,0,126.95799014265272,33.51685733629208,우도면
281888,281889,281889,202006,제주특별자치도,제주시,영세,일반한식,x시,119000,0,4,0,126.95858761524299,33.51190338725811,우도면
281889,281890,281890,202006,제주특별자치도,제주시,영세,제과점,x시,14400,0,1,0,126.959346606819,33.49342630108095,우도면
281890,281891,281891,202006,제주특별자치도,제주시,일반,일반한식,x시,42400,0,1,0,126.96126745393839,33.51282748414528,우도면
281891,281892,281892,202006,제주특별자치도,제주시,영세,일반한식,x시,175000,0,2,0,126.96466236950087,33.49888056468837,우도면
281892,281893,281893,202006,제주특별자치도,제주시,영세,일반한식,x시,600000,0,2,0,126.96449620673,33.5128544750078,우도면
281893,281894,281894,202006,제주특별자치도,제주시,영세,편의점,x시,6300,0,1,0,126.96449620673,33.5128544750078,우도면
281894,281895,281895,202006,제주특별자치도,제주시,중소,제과점,x시,15000,0,2,0,126.96736859949111,33.49755066420186,우도면
281895,281896,281896,202006,제주특별자치도,제주시,중소1,중국음식,x시,15000,0,1,0,126.9679066314353,33.497555140502115,우도면
