지역,소계,현금,신용체크카드,상품권,선불카드,금액
서울,"3,558,746","406,085","2,846,553","18,588","287,520","2,256,329"
부산,"1,224,116","239,161","833,351","4,420","147,184","783,091"
대구,"846,823","147,916","587,368","42,371","69,168","555,569"
인천,"1,085,203","144,178","760,323","180,702",0,"716,754"
광주,"485,532","76,166","377,352","32,014",0,"318,130"
대전,"546,061","72,648","455,273","8,097","10,043","355,192"
울산,"394,246","42,827","309,217",2,"42,200","268,528"
세종,"119,701","8,651","106,011",59,"4,980","82,419"
경기,"4,355,098","490,657","3,452,541","241,637","170,263","2,612,933"
강원,"567,825","118,700","366,557","66,616","15,952","350,289"
충북,"602,519","109,918","417,320","56,077","19,204","379,765"
충남,"817,209","151,135","570,561","30,483","65,030","513,899"
전북,"640,719","163,906","386,746","10,521","79,546","400,644"
전남,"652,143","196,870","364,774","68,557","21,942","395,530"
경북,"989,255","235,586","638,716","75,062","39,891","614,312"
경남,"1,176,502","221,753","807,320","9,864","137,565","763,769"
제주,"240,187","34,012","185,288",5,"20,882","153,178"
,,,,,,
,,,,,,
,,,,,,
광 주,,,,,,
"485,532",,,,,,
"76,166",,,,,,
"377,352",,,,,,
"32,014",,,,,,
0,,,,,,
"318,130",,,,,,
대 전,,,,,,
"546,061",,,,,,
"72,648",,,,,,
"455,273",,,,,,
"8,097",,,,,,
"10,043",,,,,,
"355,192",,,,,,
울 산,,,,,,
"394,246",,,,,,
"42,827",,,,,,
"309,217",,,,,,
2,,,,,,
"42,200",,,,,,
"268,528",,,,,,
세 종,,,,,,
"119,701",,,,,,
"8,651",,,,,,
"106,011",,,,,,
59,,,,,,
"4,980",,,,,,
"82,419",,,,,,
경 기,,,,,,
"4,355,098",,,,,,
"490,657",,,,,,
"3,452,541",,,,,,
"241,637",,,,,,
"170,263",,,,,,
"2,612,933",,,,,,
강 원,,,,,,
"567,825",,,,,,
"118,700",,,,,,
"366,557",,,,,,
"66,616",,,,,,
"15,952",,,,,,
"350,289",,,,,,
충 북,,,,,,
"602,519",,,,,,
"109,918",,,,,,
"417,320",,,,,,
"56,077",,,,,,
"19,204",,,,,,
"379,765",,,,,,
충 남,,,,,,
"817,209",,,,,,
"151,135",,,,,,
"570,561",,,,,,
"30,483",,,,,,
"65,030",,,,,,
"513,899",,,,,,
전 북,,,,,,
"640,719",,,,,,
"163,906",,,,,,
"386,746",,,,,,
"10,521",,,,,,
"79,546",,,,,,
"400,644",,,,,,
전 남,,,,,,
"652,143",,,,,,
"196,870",,,,,,
"364,774",,,,,,
"68,557",,,,,,
"21,942",,,,,,
"395,530",,,,,,
경 북,,,,,,
"989,255",,,,,,
"235,586",,,,,,
"638,716",,,,,,
"75,062",,,,,,
"39,891",,,,,,
"614,312",,,,,,
경 남,,,,,,
"1,176,502",,,,,,
"221,753",,,,,,
"807,320",,,,,,
"9,864",,,,,,
"137,565",,,,,,
"763,769",,,,,,
제 주,,,,,,
"240,187",,,,,,
"34,012",,,,,,
"185,288",,,,,,
5,,,,,,
"20,882",,,,,,
"153,178",,,,,,